control_id,control_name,control_objective,risk_addressed,control_requirement,implementation_examples,primary_evidence,test_method,automation_possible,data_residency_tag,deployment_boundary
CC-IAM-01,Account Lifecycle Management,Ensure only authorized users access systems,Unauthorized access,Access must be provisioned modified and revoked according to business role and authorization,AWS IAM + SSO Integration,Identity inventory and access review records,Inspect account provisioning and review approvals,yes,Global,both
CC-IAM-02,Strong Authentication,Protect privileged accounts,Credential compromise,Privileged access must require strong authentication,AWS IAM MFA or hardware token authentication,Authentication status records,Verify MFA enabled for privileged accounts,yes,Global,both
CC-LOG-01,Security Event Logging,Detect malicious activity,Lack of monitoring,Systems must generate retain and protect security-relevant logs sufficient for monitoring investigation and response,AWS CloudTrail and centralized logging platform,Security log configuration and log records,Verify logging enabled and retained,yes,US,both
CC-ENC-01,Encryption At Rest,Protect stored data,Data exposure,Sensitive data stored in systems must be encrypted using approved cryptographic mechanisms,AWS S3 SSE-KMS or encrypted storage services,Encryption configuration and key management records,Inspect encryption configuration,yes,Restricted,both
CC-ENC-02,Encryption In Transit,Protect data during transmission,Man-in-the-middle attacks,Sensitive data transmitted across networks must be protected using secure transport protocols,TLS-enabled load balancer or HTTPS endpoints,Transport encryption configuration records,Inspect TLS configuration,partial,Global,both
CC-ASSET-01,Asset Inventory,Maintain awareness of system assets,Unknown attack surface,Information system components must be inventoried and classified,AWS Config asset inventory or CMDB system,Asset inventory and classification records,Review inventory completeness,no,Global,both
CC-VULN-01,Vulnerability Management,Identify and remediate vulnerabilities,Unpatched systems,Vulnerabilities must be identified assessed prioritized and remediated within defined timelines,AWS Inspector or vulnerability scanner,Vulnerability scan results and remediation records,Review scan results and remediation status,partial,Restricted,both
CC-BACKUP-01,Backup Protection,Ensure recovery capability,Data loss,Backups of critical data must be performed retained and periodically tested,AWS Backup or backup management service,Backup configuration and recovery test records,Review backup logs and test results,partial,Restricted,both
CC-IR-01,Incident Response,Enable timely response to incidents,Delayed response,Incident response procedures must be defined maintained and periodically tested,Incident response playbooks and response platform,Incident response reports and test records,Review incident response testing,no,Global,both
CC-VENDOR-01,Vendor Risk Management,Assess third-party risk,Supplier breach risk,Third-party vendors must be evaluated for security risk before engagement,Vendor security questionnaires or assessments,Vendor risk assessment records,Review vendor security evaluations,no,Global,both
CC-RISK-01,Risk Management,Maintain visibility into organizational risk,Lack of oversight,Risks must be identified assessed tracked and treated through a defined governance process,Risk management platform or register,Risk register and treatment plans,Review risk register updates,no,Global,both
CC-POLICY-01,Policy Governance,Define security expectations,Policy gaps,Security policies and standards must be defined approved communicated and periodically reviewed,Policy management platform,Policy repository and review records,Verify policy review process,no,Global,both
CC-EXPORT-01,Technology Control Plan,Prevent unauthorized export of controlled technical data,Export violation / deemed export risk,A written Technology Control Plan must define access restrictions training and monitoring for ITAR/EAR-controlled technical data,TCP document with role-based access matrix + annual training records,TCP approval signature + training completion logs + access review reports,Review TCP documentation and validate access controls against controlled data inventories,no,Restricted,both
CC-EXPORT-02,Deemed Export Prevention,Prevent unauthorized transfer of controlled technology to foreign persons,Deemed export violation / regulatory penalty,Access to ITAR/EAR-controlled technical data must be restricted to authorized U.S. Persons or licensed foreign nationals,Network segmentation + identity provider attributes (citizenship) + physical access badges,Identity provider citizenship attributes + badge access logs + network ACL configurations,Sample foreign national access requests against authorized list; verify network segmentation rules,partial,Restricted,both
CC-SEG-01,ITAR/Non-ITAR Data Segregation,Prevent commingling of controlled and uncontrolled data,Inadvertent export / contamination risk,Controlled technical data must be logically and physically segregated from non-controlled environments with documented boundaries,Air-gapped networks or VPC isolation + separate storage buckets + distinct IAM roles,Network diagrams + VPC flow logs + storage bucket policies + IAM role definitions,Validate network topology diagrams against actual cloud configurations; test cross-boundary access attempts,partial,Restricted,both
CC-PERSONNEL-01,Export Control Personnel Screening,Ensure only authorized personnel access controlled technical data,Insider threat / unauthorized access risk,Personnel with access to ITAR/EAR-controlled data must undergo citizenship verification role-based authorization and export compliance training,HR system citizenship flags + role-based access provisioning + LMS training completion,HR citizenship records + IAM role assignments + training completion certificates,Query HR system for citizenship status; cross-reference with IAM role assignments for controlled systems,no,Restricted,both
CC-RECORD-01,Export Compliance Recordkeeping,Maintain auditable records of export control decisions,Regulatory inspection failure / enforcement action,Records of export classifications license determinations and access decisions must be retained for 5 years minimum,Document management system with retention policies + audit logging + immutable storage,Retention policy configuration + audit logs + immutable storage verification,Verify retention policy settings; sample classified items against record retention; test audit log integrity,no,Restricted,both
CC-AI-01,AI Training Data Governance,Ensure training data is lawful representative and documented,Bias copyright violation regulatory penalty,Training data must be sourced lawfully documented for provenance and assessed for representativeness and bias,Data lineage tracking + bias assessment reports + licensing documentation,Data catalog entries + bias assessment reports + license records,Review data sourcing documentation; sample training datasets for provenance and bias metrics,yes,Global,training
CC-AI-02,Model Risk Assessment,Identify and mitigate risks from AI model behavior,Model failure adversarial attack unintended harm,AI models must undergo risk assessment covering safety security fairness and explainability before deployment,NIST AI RMF MAP profile + ISO 42001 risk register + red team testing,Risk assessment report + test results + mitigation plan,Validate risk assessment completeness against NIST AI RMF functions (GOVERN MAP MEASURE MANAGE),no,Restricted,both
CC-AI-03,Human Oversight & Appeal,Ensure meaningful human review of high-impact AI decisions,Automation bias wrongful denial regulatory non-compliance,High-impact AI decisions must allow human review override and appeal with documented escalation paths,Human-in-the-loop workflow + appeal logging + escalation playbooks,Appeal logs + workflow configuration + escalation test records,Test appeal workflow with sample decisions; verify human override capability,partial,Global,inference
CC-AI-04,AI System Transparency,Provide appropriate explainability and documentation to stakeholders,Lack of trust regulatory penalty user harm,AI systems must provide documentation of purpose limitations data sources and decision logic appropriate to stakeholder role,Model cards + system cards + API documentation + user-facing explanations,Documentation repository + version control + stakeholder access logs,Verify documentation completeness against ISO 42001 Annex A controls; sample stakeholder access,partial,Global,both
