"evidence_id","control_id","evidence_name","description","source_type","data_format","collection_method","freshness","owner","automation_possible","retention_period","residency_tag","cis_benchmark"
"EV-IAM-01","CC-IAM-01","IAM User Inventory","List of all IAM users with status and creation date","Identity Provider","JSON","API query to IAM service","daily","Security Engineer","yes","3 years","Global","CIS AWS v1.5: 1.1; 1.2; 1.3"
"EV-IAM-02","CC-IAM-02","MFA Status Report","MFA enrollment status for privileged accounts","Identity Provider","JSON","Query MFA device attachments","daily","SecOps","yes","3 years","Global","CIS AWS v1.5: 1.4; 1.5; 1.6"
"EV-LOG-01","CC-LOG-01","Audit Log Integrity","Verification that audit logs are complete and unmodified","Logging Service","S3 Object","Checksum validation of log files","hourly","SecOps","yes","7 years","US","CIS AWS v1.5: 2.1; 2.2; 2.3"
"EV-ENC-01","CC-ENC-01","Encryption Key Policy","KMS key rotation and access policy configuration","Key Management","JSON","Query key policy and rotation status","weekly","Crypto Engineer","yes","7 years","Restricted","CIS AWS v1.5: 2.1.1; 2.1.2"
"EV-ENC-02","CC-ENC-02","TLS Configuration","TLS version and cipher suite configuration for endpoints","Load Balancer","JSON","Query SSL/TLS policy settings","weekly","Network Engineer","yes","3 years","Global","CIS AWS v1.5: 2.3.1; 2.3.2"
"EV-ASSET-01","CC-ASSET-01","Asset Inventory","Complete inventory of cloud resources with tags","Config Service","JSON","Query resource inventory API","weekly","Platform Engineer","yes","3 years","Global","CIS AWS v1.5: 1.3; 1.4"
"EV-VULN-01","CC-VULN-01","Vulnerability Scan Results","Automated vulnerability scan findings and remediation status","Vulnerability Scanner","JSON/PDF","Export scan results via API","weekly","SecOps","partial","3 years","Restricted","CIS AWS v1.5: 2.4; 2.5"
"EV-BACKUP-01","CC-BACKUP-01","Backup Job Logs","Backup completion status and recovery test results","Backup Service","JSON","Query backup job history","daily","Storage Engineer","yes","7 years","Restricted","CIS AWS v1.5: 2.6"
"EV-IR-01","CC-IR-01","Incident Response Test Record","Documentation of IR tabletop exercises and tests","Ticketing System","PDF/JSON","Manual upload with metadata","annual","Compliance","no","7 years","Global","CIS AWS v1.5: 1.7; 1.8"
"EV-VENDOR-01","CC-VENDOR-01","Vendor Risk Assessment","Third-party vendor security evaluation records","Vendor Risk Platform","PDF/JSON","Manual review + API sync","annual","Vendor Risk","no","3 years","Global","N/A"
"EV-RISK-01","CC-RISK-01","Risk Register Export","Active risks with treatment plans and ownership","Risk Management Platform","JSON","API export of active risks","quarterly","Risk Owner","no","3 years","Global","N/A"
"EV-POLICY-01","CC-POLICY-01","Policy Review Attestation","Security policy approval and periodic review records","Policy Management System","PDF","Manual sign-off + workflow trigger","annual","Compliance","no","7 years","Global","CIS AWS v1.5: 1.1"
"EV-EXPORT-01","CC-EXPORT-01","TCP Approval Record","Technology Control Plan approval and training records","Document Management System","PDF","Manual upload with digital signature metadata","annual","Export Compliance","no","5 years","Restricted","CIS AWS v1.5: 1.1; 2.3.1"
"EV-EXPORT-02","CC-EXPORT-02","Foreign National Access Log","Access records for foreign nationals to controlled technical data","Identity Provider + Badge System","JSON/CSV","API join of IDP citizenship flags + badge logs","daily","Security Engineer","partial","3 years","Restricted","CIS AWS v1.5: 1.1; 1.5"
"EV-SEG-01","CC-SEG-01","ITAR Network Segregation Proof","Firewall rules and VPC configurations separating ITAR/non-ITAR environments","Network Firewall / VPC","JSON","Firewall rule export + VPC flow log sample","weekly","Network Engineer","yes","3 years","Restricted","CIS AWS v1.5: 2.3.1; 2.3.2"
"EV-PERSONNEL-01","CC-PERSONNEL-01","Export Control Personnel Screening","Citizenship verification and export compliance training records","HRIS System","JSON","HRIS API query for citizenship attribute + IAM role cross-ref","annual","HR + Security","no","5 years","Restricted","CIS AWS v1.5: 1.9"
"EV-RECORD-01","CC-RECORD-01","Export Classification Audit Trail","Records of export classifications; license determinations; and access decisions","Classification Database","JSON","Database query of classification decisions + timestamps","5-year retention","Export Compliance","no","5 years","Restricted","CIS AWS v1.5: 2.1; 2.2"
"EV-AI-01","CC-AI-01","Training Data Lineage Report","Documentation of AI training data sources; preprocessing; and bias assessments","Data Catalog","JSON","API query to lineage service + bias metrics export","per-model","ML Engineer","partial","3 years","Global","CIS AWS v1.5: 2.1; 2.1.1"
"EV-AI-02","CC-AI-02","AI Risk Assessment Report","Risk assessment covering safety; security; fairness; and explainability for AI models","Risk Register + Red Team Tooling","PDF/JSON","Manual risk workshop output + automated red team results","per-release","ML Security","no","3 years","Restricted","CIS AWS v1.5: 2.4; 2.5"
"EV-AI-03","CC-AI-03","Human Appeal Workflow Log","Records of human review; override; and appeal actions for high-impact AI decisions","Application Layer","JSON","API export of appeal events + override actions","monthly","Product + Compliance","partial","3 years","Global","CIS AWS v1.5: 1.6; 2.3.1"
"EV-AI-04","CC-AI-04","Model Card Documentation","Documentation of AI model purpose; limitations; data sources; and decision logic","Documentation Repository","Markdown/PDF","Git commit of model card + stakeholder access logs","per-release","ML Engineer","partial","3 years","Global","CIS AWS v1.5: 2.5; 1.7"
"EV-K8S-IAM-01","CC-IAM-01","RBAC ClusterRoles","Kubernetes RBAC ClusterRole configurations","Kubernetes API Server","YAML/JSON","kubectl get clusterroles","weekly","Security Engineer","yes","3 years","Global","CIS K8s v1.8: 1.1.1; 1.2.1"
"EV-K8S-LOG-01","CC-LOG-01","API Server Audit Logs","Kubernetes API server audit event logs","Kubernetes API Server","JSON","kubectl get events --namespace kube-system","hourly","SecOps","yes","7 years","US","CIS K8s v1.8: 1.2.14; 1.2.15"
"EV-K8S-ENC-01","CC-ENC-01","Secrets Encryption Config","Kubernetes secrets encryption at rest configuration","etcd/KMS Provider","YAML","kubectl get secrets -o yaml","weekly","Crypto Engineer","yes","7 years","Restricted","CIS K8s v1.8: 1.2.28"
"EV-K8S-SEG-01","CC-SEG-01","Network Policies","Kubernetes NetworkPolicy configurations for namespace isolation","Kubernetes CNI","YAML","kubectl get networkpolicies --all-namespaces","weekly","Network Engineer","yes","3 years","Restricted","CIS K8s v1.8: 1.2.1; 1.2.2"
"EV-K8S-VULN-01","CC-VULN-01","Image Vulnerability Scan","Container image vulnerability scan results","Aquasec Trivy/Clair","JSON","kubectl get vulnerabilityreports","weekly","SecOps","partial","3 years","Restricted","CIS K8s v1.8: 1.2.30; 1.2.31"
