"evidence_id","control_id","evidence_name","k8s_api_group","k8s_resource_type","collection_method","kubectl_example"
"EV-K8S-IAM-01","CC-IAM-01","RBAC ClusterRoles","rbac.authorization.k8s.io","ClusterRole","kubectl get clusterroles","kubectl get clusterroles -o yaml"
"EV-K8S-IAM-02","CC-IAM-02","RBAC RoleBindings","rbac.authorization.k8s.io","RoleBinding","kubectl get rolebindings","kubectl get rolebindings --all-namespaces -o yaml"
"EV-K8S-LOG-01","CC-LOG-01","API Server Audit Logs","audit.k8s.io","Event","kubectl get events","kubectl get events --namespace kube-system -o yaml"
"EV-K8S-ENC-01","CC-ENC-01","Secrets Encryption Config","v1","Secret","kubectl get secrets","kubectl get secrets --all-namespaces -o yaml"
"EV-K8S-ENC-02","CC-ENC-02","etcd Encryption Providers","v1","ConfigMap","kubectl get configmap","kubectl get configmap -n kube-system kube-apiserver -o yaml"
"EV-K8S-ASSET-01","CC-ASSET-01","Pod Inventory","v1","Pod","kubectl get pods","kubectl get pods --all-namespaces -o wide"
"EV-K8S-VULN-01","CC-VULN-01","Image Vulnerability Scan","aquasecurity.github.io","VulnerabilityReport","kubectl get vulnerabilityreports","kubectl get vulnerabilityreports --all-namespaces"
"EV-K8S-SEG-01","CC-SEG-01","Network Policies","networking.k8s.io","NetworkPolicy","kubectl get networkpolicies","kubectl get networkpolicies --all-namespaces -o yaml"
"EV-K8S-SEG-02","CC-SEG-01","Ingress TLS Config","networking.k8s.io","Ingress","kubectl get ingress","kubectl get ingress --all-namespaces -o yaml"
"EV-K8S-BACKUP-01","CC-BACKUP-01","Velero Backup Status","velero.io","Backup","kubectl get backups","kubectl get backups -n velero -o yaml"
"EV-K8S-IR-01","CC-IR-01","Incident Response Events","v1","Event","kubectl get events","kubectl get events --field-selector reason=Failed;type=Warning --all-namespaces"
"EV-K8S-POLICY-01","CC-POLICY-01","Pod Security Policies","policy","PodSecurityPolicy","kubectl get psp","kubectl get psp -o yaml"
